PRDLST_REPORT_NO,PRDLST_NM,BAR_CD,PRDLST_DCNM,BSSH_NM,INDUTY_NM
19930355265271,마늘쫑무침(수원),8802447810066,절임식품,한영식품,식품제조가공업
19990372301187,10곡 미숫가루,8801550234905,고형차,(주)다정,식품제조가공업
199405330509,오징어 링,8809230930031,기타 수산물가공품,해봉수산,식품제조가공업
20060392118146,명태회,8809318408339,양념젓갈,(주)정이푸드빌,식품제조가공업
201304470381,흑마늘엑기스,8809407840033,액상차,샛별단양흑마늘,식품제조가공업
19910344021155,미닛메이드 프리미엄 오렌지 C 원제 제1A부,8801094262709,혼합제제,한국코카콜라유한회사,식품첨가물제조업
19970495086142,서울제리종합,8801224220036,캔디류,매일제과산업(주),식품제조가공업
1988044200471,기운찬 흑마늘,8809081211310,액상차,풀무원건강생활(주),식품제조가공업
19980476002107,치킨까스,8801492350046,분쇄가공육제품,(주)하림,축산물가공업-식육가공업
200001445841,훈제연어,8809061401168,기타 수산물가공품,(주)송림수산,식품제조가공업
19960242067159,카스타드까망베르,8801062246014,과자,롯데웰푸드(주),식품제조가공업
1991014403853,다시다쇠고기골드,8801007011325,복합조미식품,씨제이제일제당주식회사,식품제조가공업
200506230568,숨쉬는 연근차,8809306632036,침출차,화신영농조합법인,식품제조가공업
201206042177,열공한끼,8809380280031,곡류가공품,참다운,식품제조가공업
2009047601576,미니돈까스,8809106089030,분쇄가공육제품,농업회사법인 유한회사 민들래,축산물가공업-식육가공업
2011037901020,꼬기요양념닭갈비(덮밥용)(국산),8809359530075,양념육,주식회사 순수,축산물가공업-식육가공업
2010035842620,편백나무숙성발효흑마늘,8809148660068,액상차,(주)그린바이오,식품제조가공업
19940471029130,하이즐치즈스틱,8809116170063,기타가공품,우일수산(주),식품제조가공업
2000046127918,맷돌표아주존베이킹파우다,8802060000417,합성팽창제,승진F&C,식품첨가물제조업
2004035833993,초화림 간장깻잎지,8809356850367,절임식품,(주)초화림,식품제조가공업
200503684891,참치김치(매운맛)삼각김밥,8809186333085,즉석섭취식품,(주)두영푸드시스템,식품제조가공업
200904420405,아임리얼그린키위,8801114117460,과.채주스,(주)풀무원녹즙,식품제조가공업
20070358224288,스무디킹 인핸서 4,8809148000017,기타가공품,코스맥스엔비티(주),식품제조가공업
200506143416,길된장,8809381140051,한식된장,원식품,식품제조가공업
19690364004144,컵스컵스(양송이스프),8801169031124,기타 건포류,한국에스비식품(주),식품제조가공업
1996037241115,둥글레차,8803217002018,액상차,(주)꽃샘식품,식품제조가공업
2002062300919,알로에플러스,8806031003773,혼합음료,퓨어플러스(주),식품제조가공업
2013036016622,마늘쫑무침,8809385391299,절임식품,(주)더안코리아,식품제조가공업
2012054856911,뽕잎간장절임,8809326900252,절임식품,농업회사법인주식회사해미래,식품제조가공업
2012054856911,뽕잎간장절임,8809326900252,절임식품,농업회사법인주식회사해미래,식품제조가공업
201204440691,설지황6년근 홍삼순액,8809354890020,인삼.홍삼음료,괴산홍삼영농조합법인,식품제조가공업
197803680022,？시콜라,8801056047146,탄산음료,롯데칠성음료(주),식품제조가공업
201306278863,프루낵(사과),8809393500249,과.채가공품,농업회사법인 주식회사 제주팜이십일,식품제조가공업
2012037017991,유기농떡케익,8809379360270,떡류,한소담,식품제조가공업
201005381001,두물골간장,88095763,한식간장,두물골식품,식품제조가공업
200801150642,깻잎무침,8809160261021,기타가공품,(유)진가랑푸드,식품제조가공업
2009036843417,넛츠데이 브라운,8809306558152,땅콩 또는 견과류가공품,(주)애드웰스,식품제조가공업
201104430122,시골들기름,8801654100175,들기름,(주)시골김,식품제조가공업
199302440018,부산요미로포도,8801526221434,농후발효유,부산경남우유협동조합제2공장,축산물가공업-유가공업
2006039211895,어리굴젓,8809318404072,양념젓갈,(주)정이푸드빌,식품제조가공업
2003033204711,꿀떡(쑥),8809417230893,떡류,(주)찰떡궁합,식품제조가공업
199703555571,날찹쌀가루,8803714180196,곡류가공품,경도식품,식품제조가공업
19940440030121,옥수수수염차,8803368105019,액상차,(주)퓨럽,식품제조가공업
199606250467,알찬우리 고추장,8805477140035,고추장,합천우리식품,식품제조가공업
2009052507325,구운김밥용김,8803982102036,조미김,(주)대명건해,식품제조가공업
1997055514928,맛뜨락 볶음참깨,8808013008172,기타 농산가공품,농업회사법인 동방제유(주),식품제조가공업
19710372001155,레몬홍차,8803284600599,고형차,(주)담터,식품제조가공업
1976048700531,초코파이,8801117539818,초콜릿,(주)오리온 제2익산공장,식품제조가공업
19910338087765,이마트세이브쇠고기양념,8803775600886,복합조미식품,(주)세우,식품제조가공업
201303205115,해풍간장구이김자반볶음,8809397010003,조미김,(주)해풍,식품제조가공업
1974032000549,홍삼양갱,8808411500346,캔디류,신흥식품,식품제조가공업
20060188160152,조랭이,8809180370390,떡류,(주)궁전방,식품제조가공업
1986036000753,찰비빔면,8801043003049,유탕면,(주)농심,식품제조가공업
201003921406,김말랭이,8809406280120,기타가공품,(주)씨월드,식품제조가공업
2006030808363,오징어젓,8802429200021,양념젓갈,(주)미미식품유통,식품제조가공업
20000498094272,김신영 고기왕만두,8809056194709,만두,나래식품주식회사,식품제조가공업
19750443001142,오설록 웨딩그린티,8801042632530,침출차,(주)오설록농장,식품제조가공업
19750443001142,오설록 웨딩그린티,8801042632530,침출차,농업회사법인(주)오설록농장,식품제조가공업
19760342001184,새우깡,8801043026468,과자,(주)농심,식품제조가공업
201205750011,삼민목장 요구르트,8809400140024,농후발효유,삼민목장,축산물가공업-유가공업
200604750031,이준숙전통한과,8809413765061,과자,이준숙전통한과,식품제조가공업
200404630186,천수만유과,8809398650130,과자,천수만전통생강한과,식품제조가공업
2010026206639,훈제닭가슴살바베큐,8809350310034,햄,(주)햇살푸드시스템,축산물가공업-식육가공업
20030294318224,먹는 해양심층수로 담근 맛김치,8803601850218,김치,(주)한성식품,식품제조가공업
1995020805625,해표 포도씨유,8801039203309,기타식물성유지,(주)사조대림,식품제조가공업
19960308010323,카샤카페모카,8806002010670,커피,광동제약주식회사,식품제조가공업
1995057301737,자연산 숙성 생칡즙,8809127504666,액상차,농업회사법인 (유)한농마을,식품제조가공업
201301688322,우동,8809033832228,숙면,남문식품 2공장,식품제조가공업
19990342286115,파우치샌드,8802376003409,빵류,상익베이커리,식품제조가공업
2009048716712,자색고구마쌀과자(수출),8809289990253,과자,깊은숲속행복한식품,식품제조가공업
1973034700349,로얄밀크쵸코렛,8801244301432,밀크초콜릿,로얄제과(주),식품제조가공업
200604560521,도토리묵,8809130210363,묵류,농업회사법인제이엠미트당진지점,식품제조가공업
200802422503,오예스고구마,8801019005289,초콜릿가공품,해태제과식품(주),식품제조가공업
2006034704181,이마트나른한오후엔페퍼민트,8809071541878,침출차,주식회사 티젠,식품제조가공업
1996047003793,홍삼퀸,8809023004888,인삼.홍삼음료,(주)한국인삼공사,식품제조가공업
19810308046109,썬업리치그레이프,8801121510056,과.채주스,매일유업(주)평택공장,식품제조가공업
19740344001182,퓨즈티 복숭아 원제 제2부,8801094742607,음료베이스,한국 코카콜라 유한회사,식품제조가공업
1964044800115,남양 임페리얼 XO Five Secret 1,8801069224695,영아용 조제유,남양유업 주식회사 천안공장,축산물가공업-유가공업
1994031002113,쌍화 골드,8803450100953,혼합음료,삼진지디에프(주),식품제조가공업
1985044900110,삼육아기두유2,8801136501018,성장기용 조제식,삼육식품,식품제조가공업
19960242067193,또뜨,8801062514472,과자,롯데웰푸드(주),식품제조가공업
1996037815817,깻잎무침,8809387003961,절임식품,참맛촌,식품제조가공업
20030445042403,친환경 사과로 만든 사과주스,8809135308492,과.채주스,(주)웰팜,식품제조가공업
1995046708821,동규엽차,8804995598281,침출차,초당농산,식품제조가공업
199403622063,구멍쌀떡볶이Ⅰ,8801364300469,떡류,삼오식품(주),식품제조가공업
19720288002656,오뚜기카레(순한맛),8801045010113,카레(커리)분,주식회사 오뚜기,식품제조가공업
2005047600315,호두잔치,8809089690117,샤베트,주식회사 에버스톤,축산물가공업-유가공업
2005016314760,오징어링,8809197380085,기타 수산물가공품,(주)영피쉬,식품제조가공업
20030445042123,친환경 원액 당근사과주스,8809135303671,과.채주스,(주)웰팜,식품제조가공업
201101996297,훈제연어,8809354230185,기타 수산물가공품,진승글로벌푸드주식회사,식품제조가공업
1995026200659,존쿡브랏워스트,8809013406579,소시지,에쓰푸드(주),축산물가공업-식육가공업
1985049901140,청정원햇살담은양조간장,8801052778013,양조간장,대상(주),식품제조가공업
2006036506119,소문난 김부자 김,8801299008454,조미김,주식회사 소문난삼부자(지점),식품제조가공업
19780614009359,풀(Full)배부른 다이어트,8801062605415,체중조절용 조제식품,롯데웰푸드(주),식품제조가공업
19800347002142,크림수프,8801052403601,기타가공품,대상(주)기흥공장,식품제조가공업
2011060805855,쌀뻥순수쌀과자,8809374370489,과자,바이오에프이주식회사,식품제조가공업
2002056801223,통단무지,8809115191472,절임식품,(주)진푸드,식품제조가공업
2003044901710,조개그린다시,8809077088537,복합조미식품,주식회사 두원식품,식품제조가공업
201105991229,부산어묵,8809025430111,어묵,(주)부산해정식품,식품제조가공업
201105991229,부산어묵,8809025430111,어묵,(주)부산해정식품,식품제조가공업
1983048705152,미니핫브레이크,8801117408503,초콜릿가공품,(주)오리온 제3익산공장,식품제조가공업
2000044104329,매일두유 순 플레인,8801121755693,가공두유,매일유업(주)영동공장,식품제조가공업
201003805831,비타민나무잎차,8809121143014,침출차,삼성생약주식회사,식품제조가공업
2003044901740,쇠고기골드그린다시,8809077081125,복합조미식품,주식회사 두원식품,식품제조가공업
2008035516432,김밥용소스,8809239770461,소스,(주)이엔푸드,식품제조가공업
201305011731,통닭,8809385940268,포장육,(주)참프레,식육포장처리업
198504990115,청정원순창찰고추장,8801052732107,고추장,대상(주),식품제조가공업
201003659332,구이용돈갈비,8809347803082,포장육,농업회사법인 꿀맛나는세상 주식회사,식육포장처리업
2010035804432,모듬안주,8809017694088,땅콩 또는 견과류가공품,대양식품,식품제조가공업
1972016800161,유기농 통밀소면,8801354400636,건면,(주)풍국면,식품제조가공업
19690086003709,쿨리스트 베리,8801062332779,캔디류,롯데웰푸드(주),식품제조가공업
2002026201132,수제등심돈까스,8809416090016,분쇄가공육제품,세미가,축산물가공업-식육가공업
19970445144669,고구마케익2호,8809188223773,빵류,씨제이푸드빌주식회사,식품제조가공업
19930472005573,꽃다운 열무국수,8801759014636,건면,칠갑농산 주식회사,식품제조가공업
200003701286,명가랑정이담긴 볶은참깨,8809074290179,기타가공품,주식회사 명가랑,식품제조가공업
200404818193,일오삼녹차김,8809161310131,조미김,(주)일오삼식품,식품제조가공업
20130528041116,함박스테이크정식,8809047012159,즉석섭취식품,(주)현대푸드시스템,식품제조가공업
19890445014161,덕수영지,8802774001816,혼합음료,태웅식품(주),식품제조가공업
199305150368,엄마사랑,8809343921414,추출가공식품,주식회사 보생,식품제조가공업
19690086003547,롯데스카치캔디 커피,8801062331994,캔디류,롯데웰푸드(주),식품제조가공업
1983030801093,초코필드빼빼로,8801062629398,초콜릿가공품,롯데웰푸드 주식회사,식품제조가공업
2003055418873,산삼배양근3000,8809171843155,인삼.홍삼음료,(주)비트로시스농업회사법인,식품제조가공업
19780368002415,트로피카나트위스터자몽딸기,8801056065041,과.채음료,롯데칠성음료(주),식품제조가공업
2001026305522,치킨소스,8809189160060,소스,주식회사 혜성식품,식품제조가공업
2012036260618,닭강정삼각김밥,8809369420830,즉석섭취식품,(주)그린키친,식품제조가공업
20080160130133,푸드웰백도,8801214364153,과.채가공품,주식회사 푸드웰,식품제조가공업
2009026204534,손수허브향담은촉촉한닭가슴살,8809257828816,양념육,주식회사 아워홈,축산물가공업-식육가공업
19710275003972,옥수수페스트리,8801016331940,빵류,(주)샤니,식품제조가공업
20010493358328,엄지철판잡채군만두,8807617770881,만두,(주)엄지식품,식품제조가공업
19910449004333,라면친구계란,8809223261029,기타가공품,상미식품주식회사,식품제조가공업
2007034524719,고급찹쌀떡,8809173490005,떡류,사임당종합식품,식품제조가공업
200904451371,바이칼(BYCAL),8809397670030,기타혼합제제,(주)바이칼,식품첨가물제조업
2012036260667,닭강정삼각김밥뉴,8809369420090,즉석섭취식품,(주)그린키친,식품제조가공업
201205550092,용계매실고추장,8809364540045,고추장,농업회사법인 주식회사 용계매원,식품제조가공업
1980019003084,카놀라유,8801007065113,채종유(유채유 또는 카놀라유),씨제이제일제당(주),식품제조가공업
1993061906578,사조 매콤한 고추 연어,8801075012897,기타 수산물가공품,사조산업(주)고성공장,식품제조가공업
2009035809934,새우젓,8809222959279,젓갈,(주)디미방,식품제조가공업
1993062302456,인산복해정환,8801969333466,기타가공품,(주)인산가,식품제조가공업
201101570182,돼지양념갈비,8809411050190,양념육,주식회사 우보식품,축산물가공업-식육가공업
2007024203811,어성초냉면,8809370920312,숙면,준훈식품,식품제조가공업
2000060707748,유림꿩사골냉면육수,8809155581608,소스,(주)합천식품,식품제조가공업
2010015622865,브로콜리미,8809374431913,곡류가공품,주식회사 바비조아,식품제조가공업
2010035817729,노유파 369 지방산,8809306363022,혼합식용유,주식회사 제이비케이랩,식품제조가공업
2010035817729,노유파 369 지방산,8809306363022,혼합식용유,주식회사 제이비케이랩,식품제조가공업
201105720221,봉화야생산야초,8809353780025,기타발효음료,봉화산삼연구소,식품제조가공업
19710275003254,냉동생지 꽈배기 도너츠,8801016218340,빵류,(주)샤니,식품제조가공업
2000047506931,유기농백김치,8809334529377,김치,농업회사법인주식회사담채원,식품제조가공업
1998031103130,드라이 이스트,8809000380066,효모,주식회사 조흥,식품첨가물제조업
1986027500436,생생쫄면,8808375300068,숙면,(주)평화식품,식품제조가공업
200502856034,전통가마솥청국가루,8809317340036,두류가공품,전통가마솥청국장,식품제조가공업
199503380155063,아침엔 우유토스트,8801068087062,빵류,주식회사 에스피씨삼립,식품제조가공업
1993018812721,자숙문어,8807641004280,기타 수산물가공품,천일식품,식품제조가공업
19690086003551,비타씨박스 과립,8801062221837,캔디류,롯데웰푸드(주),식품제조가공업
2009039717826,메밀냉식혜,8809058352039,혼합음료,봉평메밀특산단지영농조합법인,식품제조가공업
200606144542,황금 토종닭,8809084590306,포장육,(주)콜센,식육포장처리업
201001250096,푸짐한 철마한우곰탕,8809330670042,식육추출가공품,주식회사 유니버셜푸드랩,축산물가공업-식육가공업
199006273492,제주단무지,8805818000042,절임식품,주식회사돌하르방식품,식품제조가공업
199603080104,화이바스타,8806002000176,혼합음료,광동제약주식회사,식품제조가공업
19930355226174,불닭소스,8809101000504,소스,신안상사,식품제조가공업
201005330154,포항친정애부추환프리미엄,8809393010106,기타가공품,(주)친정애농업회사법인,식품제조가공업
19760262002125,어린이우유앙팡,8801115134732,가공유,서울우유협동조합 안산공장,축산물가공업-유가공업
2009036000260,캐러멜피칸,8803939213303,땅콩 또는 견과류가공품,나라통상(주),식품제조가공업
2008044505658,치킨양념소스(순한맛),8809295300077,소스,(주)예우당에프에스,식품제조가공업
199004640039,좋은상품 매운 고추가루,8803892000064,고춧가루,(주)진미농산,식품제조가공업
19950227050107,동원흑미식혜,8801047829799,혼합음료,(주)동원F&B,식품제조가공업
20060188160173,삼색떡,8809180370154,떡류,(주)궁전방,식품제조가공업
19750443001142,오설록 웨딩그린티,8806403253126,침출차,(주)오설록농장,식품제조가공업
19750443001142,오설록 웨딩그린티,8806403253126,침출차,농업회사법인(주)오설록농장,식품제조가공업
19970445144709,드림초코하트케익,8809188223414,빵류,씨제이푸드빌주식회사,식품제조가공업
1998046701024,실속현미녹차,8801767500138,침출차,녹차원주식회사,식품제조가공업
2005021102122,기력산삼배양근,8809020971718,인삼.홍삼음료,농업회사법인(주)삼흥,식품제조가공업
199903951084,박할머니안흥흑미찐빵,8809099420063,빵류,박할머니안흥찐빵,식품제조가공업
19850499011137,청정원햇살담은양조간장,8801052780115,양조간장,대상(주),식품제조가공업
198504590079,조개젖,8802262107020,젓갈,보령전통수산,식품제조가공업
201205433584,안동참마죽,8809376630017,즉석조리식품,(주)약선푸드 농업회사법인,식품제조가공업
19990619048108,누룽지맛 캔디,8803318509072,캔디류,신화당제과,식품제조가공업
201304450148,오징어야채카네바,8809317190266,어묵,씨제이씨푸드 주식회사,식품제조가공업
2010061601112,아라원참치발효숙성참치액(국찌개무침용),8809261080781,소스,(주)아라원,식품제조가공업
2010062770720,백년초쿠키초코볼,8809240900079,초콜릿가공품,(주)푸른제주,식품제조가공업
1976014400815,오복간장(청표),8801126034618,혼합간장,(주)오복식품,식품제조가공업
1982029400813,식소다,8807443012322,혼합제제,(주)범아식품,식품첨가물제조업
201205680453,대복 통팥 찹쌀떡,8809373320218,떡류,대복,식품제조가공업
2011058938410,산채비빔밥,8809287910208,즉석조리식품,건농식품,식품제조가공업
2012035838852,매콤치킨김밥,8809371381587,즉석섭취식품,(주)한국데리카후레쉬,식품제조가공업
201101141674,엣소스 만능양념장 찌개용,8809322510295,소스,(주)산무리,식품제조가공업
200904760115,액티비아 컵 복숭아,8809274510251,농후발효유,풀무원다논주식회사,축산물가공업-유가공업
201203470112,우리미 누룽지,8809349190005,곡류가공품,우리미사랑,식품제조가공업
2005036205612,육개장,8809050290025,즉석조리식품,성일식품,식품제조가공업
1985044900139,삼육두유검은콩참깨,8801136401813,가공두유,삼육식품,식품제조가공업
19790190025113,백설진한참기름,8801007026114,참기름,씨제이제일제당(주),식품제조가공업
1991045804710,맛있는 재래식된장,8801007053431,된장,씨제이제일제당(주),식품제조가공업
20080458027209,브로콜리(냉동),8809126924212,과.채가공품,프레시플러스(주)공주제1공장,식품제조가공업
201005604501,아람드리포도,8809087720069,과.채음료,농업회사법인아람농장(주),식품제조가공업
19980476002479,자연실록가슴살훈제,8801492364722,햄,(주)하림,축산물가공업-식육가공업
1993044800166,메론우유(Melon Flavored Milk Drink),8801753101202,가공유,연세대학교 연세유업,축산물가공업-유가공업
201203800325,하루에한모수제두부,8809352640030,두부,다원푸드,식품제조가공업
2005058804036,한우사골,8809393320465,포장육,마산식육유통,식육포장처리업
1973034700336,로즈먼드,8801244304945,초콜릿,로얄제과(주),식품제조가공업
200303470062,인스턴트헤이즐넛믹스,8805627040512,커피,시티하우스코리아,식품제조가공업
20010199365100,해물탕,8809011831793,기타 수산물가공품,(주)참맛나라,식품제조가공업
199502120021,까나리액젓,8809295410035,액젓,경인서부수산업협동조합 백령사업소,식품제조가공업
200304920637,월매네깻묵,8809050810438,묵류,노고단식품,식품제조가공업
1996045803944,초록매실,8801382125990,과.채음료,웅진식품(주),식품제조가공업
1991051211698,포도와사과품은 배즙,8801770101889,과.채음료,(주)가보팜스,식품제조가공업
200704450321,사누끼쯔유,8809361170207,소스,(주)선도식품,식품제조가공업
1988062201212,지리산 곰취잎 장아찌,8809332012017,절임식품,참들애바이오푸드 영농조합법인,식품제조가공업
1988062201212,지리산농사꾼도라지지청,8809332012017,액상차,참들애바이오푸드 영농조합법인,식품제조가공업
198705330032,진미오징어,8801308428105,조미건어포,정화식품(주),식품제조가공업
19690086003619,스카치캔디 세가지맛,8801062130290,캔디류,롯데웰푸드(주),식품제조가공업
197102750031204,샌드 카스테라,8801016337669,빵류,(주)샤니,식품제조가공업
1995020805625,해표 포도씨유,8801039204719,기타식물성유지,(주)사조대림,식품제조가공업
19710275003916,애플 페스트리,8801016323976,빵류,(주)샤니,식품제조가공업
200703800153,모카향믹스골드커피,8809246640207,커피,주식회사 굿윌커피,식품제조가공업
1991049202958,정통 우동 해물맛,8803147100860,숙면,씨제이제일제당(주) 남원공장,식품제조가공업
1999019900454,밀또띠아,8809048100107,빵류,남향푸드또띠아(주),식품제조가공업
201205891789,꿀떡,8809355590042,떡류,(주)예림,식품제조가공업
19960080359400,블루베리 찹쌀호떡믹스,8801007170657,기타가공품,씨제이제일제당(주),식품제조가공업
1975044300117,설록 작설 덖음,8806403050237,침출차,농업회사법인(주)오설록농장,식품제조가공업
1975044300117,설록 작설 덖음,8806403050237,침출차,(주)오설록농장,식품제조가공업
2006046720931,위아체홍삼보감,8809050344933,액상차,(주)대덕바이오,식품제조가공업
2012037017960,단호박떡케？,8809379360676,떡류,한소담,식품제조가공업
198306140039,천하장사큐,8801077235805,어육소시지,(주)진주햄,식품제조가공업
1988044900162,햇볕조림간장,8801161229123,혼합간장,신송식품주식회사,식품제조가공업
201004672333,꾸이랑,8809275410314,기타 어육가공품,가연식품,식품제조가공업
200805310932,함초랑양파랑천일염,8809261660716,가공소금,솔섬식품(주),식품제조가공업
19940449005106,프렌치카페,8801019407017,추잉껌,해태제과식품(주)천안2공장,식품제조가공업
201103653014,수제깐풍새우,8809359580674,기타 수산물가공품,주식회사참살이네푸드,식품제조가공업
198805890633,동원참치라이트스탠다드,8801047819530,기타 수산물가공품,(주)동원F&B,식품제조가공업
1994045922942,카레김자반,8804702300732,조미김,(주)삼육수산,식품제조가공업
201206273563,제주백년초초콜릿,8809351393180,준초콜릿,새오름영농조합법인,식품제조가공업
198504590074,멸치액젓,8802262109024,액젓,보령전통수산,식품제조가공업
20090476009152,상하치즈슬라이스,8801121756645,가공치즈,매일유업(주)상하공장,축산물가공업-유가공업
200904930771,들기름,8809173532224,들기름,(주)참푸드,식품제조가공업
2000047506937,갓김치,8809334528431,김치,농업회사법인주식회사담채원,식품제조가공업
197102750031659,달콤한카카오슈크림,8801016345992,빵류,(주)샤니,식품제조가공업
1999024250616,립톤 레몬티(Lipton Lemon Tea),8801619800461,고형차,(주)스윗티,식품제조가공업
